"code             ","rgb             ","hex    ","name                  ","category                       "
"7720 XGC         ","rgb(0,96,88)    ","#006058","                      ","Graphic Designers              "
"7721 C           ","rgb(0,94,93)    ","#005E5D","                      ","Graphic Designers              "
"7721 CP          ","rgb(0,95,91)    ","#005F5B","                      ","Graphic Designers              "
"P 132-15 C       ","rgb(0,99,88)    ","#006358","                      ","Graphic Designers              "
"323 CP           ","rgb(0,97,96)    ","#006160","                      ","Graphic Designers              "
"8761 C           ","rgb(0,95,104)   ","#005F68","                      ","Graphic Designers              "
"P 126-15 C       ","rgb(0,96,96)    ","#006060","                      ","Graphic Designers              "
"3155 C           ","rgb(0,98,114)   ","#006272","                      ","Graphic Designers              "
"7470 CP          ","rgb(0,93,111)   ","#005D6F","                      ","Graphic Designers              "
"7708 XGC         ","rgb(0,92,118)   ","#005C76","                      ","Graphic Designers              "
"2224 CP          ","rgb(0,98,117)   ","#006275","                      ","Graphic Designers              "
"634 XGC          ","rgb(0,97,125)   ","#00617D","                      ","Graphic Designers              "
"P 114-15 C       ","rgb(0,93,128)   ","#005D80","                      ","Graphic Designers              "
"308 CP           ","rgb(0,98,135)   ","#006287","                      ","Graphic Designers              "
"634 C            ","rgb(0,95,131)   ","#005F83","                      ","Graphic Designers              "
"7469 C           ","rgb(0,95,134)   ","#005F86","                      ","Graphic Designers              "
"7469 CP          ","rgb(0,97,135)   ","#006187","                      ","Graphic Designers              "
"7469 XGC         ","rgb(0,97,136)   ","#006188","                      ","Graphic Designers              "
"7701 CP          ","rgb(0,95,130)   ","#005F82","                      ","Graphic Designers              "
"7707 C           ","rgb(0,97,127)   ","#00617F","                      ","Graphic Designers              "
"7707 CP          ","rgb(0,100,129)  ","#006481","                      ","Graphic Designers              "
"P 114-8 C        ","rgb(0,92,133)   ","#005C85","                      ","Graphic Designers              "
"P 117-8 C        ","rgb(0,98,140)   ","#00628C","                      ","Graphic Designers              "
"647 CP           ","rgb(13,91,144)  ","#0D5B90","                      ","Graphic Designers              "
"640 XGC          ","rgb(0,129,179)  ","#0081B3","                      ","Graphic Designers              "
"7690 CP          ","rgb(0,127,175)  ","#007FAF","                      ","Graphic Designers              "
"7690 XGC         ","rgb(0,122,171)  ","#007AAB","                      ","Graphic Designers              "
"2172 CP          ","rgb(40,128,191) ","#2880BF","                      ","Graphic Designers              "
"2195 U           ","rgb(47,126,206) ","#2F7ECE","                      ","Graphic Designers              "
"300 UP           ","rgb(37,123,182) ","#257BB6","                      ","Graphic Designers              "
"3005 UP          ","rgb(39,129,187) ","#2781BB","                      ","Graphic Designers              "
"P 109-14 C       ","rgb(32,129,185) ","#2081B9","                      ","Graphic Designers              "
"P 109-8 U        ","rgb(58,126,180) ","#3A7EB4","                      ","Graphic Designers              "
"2192 C           ","rgb(0,145,218)  ","#0091DA","                      ","Graphic Designers              "
"2192 XGC         ","rgb(0,148,215)  ","#0094D7","                      ","Graphic Designers              "
"2193 C           ","rgb(0,144,218)  ","#0090DA","                      ","Graphic Designers              "
"2193 XGC         ","rgb(0,147,213)  ","#0093D5","                      ","Graphic Designers              "
"2394 CP          ","rgb(0,141,206)  ","#008DCE","                      ","Graphic Designers              "
"2258 C           ","rgb(0,133,34)   ","#008522","                      ","Graphic Designers              "
"2258 XGC         ","rgb(0,135,43)   ","#00872B","                      ","Graphic Designers              "
"2259 CP          ","rgb(24,115,41)  ","#187329","                      ","Graphic Designers              "
"2266 C           ","rgb(51,85,37)   ","#335525","                      ","Graphic Designers              "
"2266 CP          ","rgb(45,86,40)   ","#2D5628","                      ","Graphic Designers              "
"2266 XGC         ","rgb(53,90,36)   ","#355A24","                      ","Graphic Designers              "
"2426 C           ","rgb(0,140,21)   ","#008C15","                      ","Graphic Designers              "
"2426 CP          ","rgb(0,134,43)   ","#00862B","                      ","Graphic Designers              "
"350 C            ","rgb(44,82,52)   ","#2C5234","                      ","Graphic Designers              "
"3522 C           ","rgb(0,131,48)   ","#008330","                      ","Graphic Designers              "
"356 C            ","rgb(0,122,51)   ","#007A33","                      ","Graphic Designers              "
"P 140-16 C       ","rgb(0,114,59)   ","#00723B","                      ","Graphic Designers              "
"P 141-15 C       ","rgb(32,95,52)   ","#205F34","                      ","Graphic Designers              "
"P 143-8 C        ","rgb(0,127,48)   ","#007F30","                      ","Graphic Designers              "
"342 XGC          ","rgb(0,103,70)   ","#006746","                      ","Graphic Designers              "
"7727 CP          ","rgb(0,112,62)   ","#00703E","                      ","Graphic Designers              "
"7728 C           ","rgb(0,104,69)   ","#006845","                      ","Graphic Designers              "
"7728 XGC         ","rgb(0,102,67)   ","#006643","                      ","Graphic Designers              "
"2465 C           ","rgb(29,110,47)  ","#1D6E2F","                      ","Graphic Designers              "
"7733 XGC         ","rgb(0,110,65)   ","#006E41","                      ","Graphic Designers              "
"336 C            ","rgb(0,102,79)   ","#00664F","                      ","Graphic Designers              "
"342 C            ","rgb(0,103,71)   ","#006747","                      ","Graphic Designers              "
"7728 CP          ","rgb(0,104,72)   ","#006848","                      ","Graphic Designers              "
"P 135-15 C       ","rgb(9,93,77)    ","#095D4D","                      ","Graphic Designers              "
"336 CP           ","rgb(0,105,78)   ","#00694E","                      ","Graphic Designers              "
"3298 C           ","rgb(0,106,82)   ","#006A52","                      ","Graphic Designers              "
"P 138-7 C        ","rgb(0,107,81)   ","#006B51","                      ","Graphic Designers              "
"2182 CP          ","rgb(21,79,95)   ","#154F5F","                      ","Graphic Designers              "
"329 C            ","rgb(0,104,94)   ","#00685E","                      ","Graphic Designers              "
"3292 CP          ","rgb(0,103,89)   ","#006759","                      ","Graphic Designers              "
"568 C            ","rgb(0,108,91)   ","#006C5B","                      ","Graphic Designers              "
"P 135-7 C        ","rgb(0,108,89)   ","#006C59","                      ","Graphic Designers              "
"7715 C           ","rgb(0,98,105)   ","#006269","                      ","Graphic Designers              "
"7720 CP          ","rgb(0,103,97)   ","#006761","                      ","Graphic Designers              "
"P 126-7 C        ","rgb(0,101,102)  ","#006566","                      ","Graphic Designers              "
"2210 XGC         ","rgb(26,79,110)  ","#1A4F6E","                      ","Graphic Designers              "
"2238 CP          ","rgb(0,102,108)  ","#00666C","                      ","Graphic Designers              "
"7715 CP          ","rgb(0,102,111)  ","#00666F","                      ","Graphic Designers              "
"P 123-15 C       ","rgb(0,102,113)  ","#006671","                      ","Graphic Designers              "
"P 123-8 C        ","rgb(0,100,112)  ","#006470","                      ","Graphic Designers              "
"2224 XGC         ","rgb(0,103,124)  ","#00677C","                      ","Graphic Designers              "
"3155 XGC         ","rgb(0,105,122)  ","#00697A","                      ","Graphic Designers              "
"8764 C           ","rgb(6,95,124)   ","#065F7C","                      ","Graphic Designers              "
"315 C            ","rgb(0,103,127)  ","#00677F","                      ","Graphic Designers              "
"P 120-15 C       ","rgb(0,102,126)  ","#00667E","                      ","Graphic Designers              "
"P 120-8 C        ","rgb(0,102,131)  ","#006683","                      ","Graphic Designers              "
"7706 C           ","rgb(0,106,142)  ","#006A8E","                      ","Graphic Designers              "
"7707 XGC         ","rgb(0,105,135)  ","#006987","                      ","Graphic Designers              "
"P 117-15 C       ","rgb(0,102,136)  ","#006688","                      ","Graphic Designers              "
"641 XGC          ","rgb(0,103,151)  ","#006797","                      ","Graphic Designers              "
"P 110-15 C       ","rgb(2,108,152)  ","#026C98","                      ","Graphic Designers              "
"P 113-16 C       ","rgb(0,103,151)  ","#006797","                      ","Graphic Designers              "
"P 114-7 C        ","rgb(0,105,146)  ","#006992","                      ","Graphic Designers              "
"3538 UP          ","rgb(0,138,200)  ","#008AC8","                      ","Graphic Designers              "
"640 CP           ","rgb(0,133,190)  ","#0085BE","                      ","Graphic Designers              "
"7460 C           ","rgb(0,134,191)  ","#0086BF","                      ","Graphic Designers              "
"P 112-15 C       ","rgb(0,136,192)  ","#0088C0","                      ","Graphic Designers              "
"P 112-8 U        ","rgb(0,138,198)  ","#008AC6","                      ","Graphic Designers              "
"2172 XGC         ","rgb(52,131,202) ","#3483CA","                      ","Graphic Designers              "
"2173 XGC         ","rgb(37,135,204) ","#2587CC","                      ","Graphic Designers              "
"2184 U           ","rgb(54,137,213) ","#3689D5","                      ","Graphic Designers              "
"2193 UP          ","rgb(29,138,197) ","#1D8AC5","                      ","Graphic Designers              "
"2194 UP          ","rgb(31,136,195) ","#1F88C3","                      ","Graphic Designers              "
"2382 XGC         ","rgb(55,139,206) ","#378BCE","                      ","Graphic Designers              "
"2258 CP          ","rgb(0,139,47)   ","#008B2F","                      ","Graphic Designers              "
"2273 C           ","rgb(37,114,38)  ","#257226","                      ","Graphic Designers              "
"2273 XGC         ","rgb(43,118,33)  ","#2B7621","                      ","Graphic Designers              "
"2426 XGC         ","rgb(0,147,47)   ","#00932F","                      ","Graphic Designers              "
"350 XGC          ","rgb(46,85,53)   ","#2E5535","                      ","Graphic Designers              "
"356 CP           ","rgb(0,129,57)   ","#008139","                      ","Graphic Designers              "
"356 XGC          ","rgb(0,128,54)   ","#008036","                      ","Graphic Designers              "
"357 XGC          ","rgb(38,93,52)   ","#265D34","                      ","Graphic Designers              "
"7483 C           ","rgb(39,93,56)   ","#275D38","                      ","Graphic Designers              "
"7483 XGC         ","rgb(38,93,55)   ","#265D37","                      ","Graphic Designers              "
"7734 CP          ","rgb(39,93,58)   ","#275D3A","                      ","Graphic Designers              "
"7734 XGC         ","rgb(38,92,60)   ","#265C3C","                      ","Graphic Designers              "
"P 144-15 C       ","rgb(36,104,51)  ","#246833","                      ","Graphic Designers              "
"P 146-8 C        ","rgb(0,128,54)   ","#008036","                      ","Graphic Designers              "
"P 150-8 C        ","rgb(38,108,45)  ","#266C2D","                      ","Graphic Designers              "
"P 153-16 C       ","rgb(44,95,45)   ","#2C5F2D","                      ","Graphic Designers              "
"7727 C           ","rgb(0,111,68)   ","#006F44","                      ","Graphic Designers              "
"7732 C           ","rgb(0,122,62)   ","#007A3E","                      ","Graphic Designers              "
"7733 C           ","rgb(0,112,65)   ","#007041","                      ","Graphic Designers              "
"7733 CP          ","rgb(0,117,64)   ","#007540","                      ","Graphic Designers              "
"349 CP           ","rgb(30,112,64)  ","#1E7040","                      ","Graphic Designers              "
"3415 C           ","rgb(0,119,73)   ","#007749","                      ","Graphic Designers              "
"7727 XGC         ","rgb(0,116,75)   ","#00744B","                      ","Graphic Designers              "
"3298 XGC         ","rgb(0,107,85)   ","#006B55","                      ","Graphic Designers              "
"342 CP           ","rgb(0,112,85)   ","#007055","                      ","Graphic Designers              "
"P 134-16 C       ","rgb(0,110,86)   ","#006E56","                      ","Graphic Designers              "
"329 CP           ","rgb(0,106,95)   ","#006A5F","                      ","Graphic Designers              "
"329 XGC          ","rgb(0,107,96)   ","#006B60","                      ","Graphic Designers              "
"336 XGC          ","rgb(0,108,92)   ","#006C5C","                      ","Graphic Designers              "
"568 XGC          ","rgb(0,109,91)   ","#006D5B","                      ","Graphic Designers              "
"P 132-7 C        ","rgb(0,109,95)   ","#006D5F","                      ","Graphic Designers              "
"5473 C           ","rgb(17,94,103)  ","#115E67","                      ","Graphic Designers              "
"562 C            ","rgb(0,111,98)   ","#006F62","                      ","Graphic Designers              "
"7719 C           ","rgb(0,109,104)  ","#006D68","                      ","Graphic Designers              "
"7719 XGC         ","rgb(0,109,103)  ","#006D67","                      ","Graphic Designers              "
"8743 C           ","rgb(0,106,103)  ","#006A67","                      ","Graphic Designers              "
"P 129-8 C        ","rgb(0,109,102)  ","#006D66","                      ","Graphic Designers              "
"2238 C           ","rgb(0,105,117)  ","#006975","                      ","Graphic Designers              "
"7715 XGC         ","rgb(0,104,113)  ","#006871","                      ","Graphic Designers              "
"2224 C           ","rgb(0,105,128)  ","#006980","                      ","Graphic Designers              "
"2238 XGC         ","rgb(0,107,119)  ","#006B77","                      ","Graphic Designers              "
"3155 CP          ","rgb(0,108,124)  ","#006C7C","                      ","Graphic Designers              "
"315 CP           ","rgb(0,106,133)  ","#006A85","                      ","Graphic Designers              "
"315 XGC          ","rgb(0,107,131)  ","#006B83","                      ","Graphic Designers              "
"8225 C           ","rgb(0,109,126)  ","#006D7E","                      ","Graphic Designers              "
"634 CP           ","rgb(0,109,144)  ","#006D90","                      ","Graphic Designers              "
"7706 CP          ","rgb(0,109,142)  ","#006D8E","                      ","Graphic Designers              "
"P 111-7 C        ","rgb(18,95,137)  ","#125F89","                      ","Graphic Designers              "
"633 C            ","rgb(0,115,150)  ","#007396","                      ","Graphic Designers              "
"633 XGC          ","rgb(0,117,149)  ","#007595","                      ","Graphic Designers              "
"7468 C           ","rgb(0,115,152)  ","#007398","                      ","Graphic Designers              "
"7705 C           ","rgb(0,112,150)  ","#007096","                      ","Graphic Designers              "
"7705 CP          ","rgb(0,113,153)  ","#007199","                      ","Graphic Designers              "
"7706 XGC         ","rgb(0,113,150)  ","#007196","                      ","Graphic Designers              "
"P 117-7 C        ","rgb(0,114,153)  ","#007299","                      ","Graphic Designers              "
"P 119-16 C       ","rgb(0,113,145)  ","#007191","                      ","Graphic Designers              "
"307 U            ","rgb(0,116,162)  ","#0074A2","                      ","Graphic Designers              "
"7705 XGC         ","rgb(0,120,159)  ","#00789F","                      ","Graphic Designers              "
"P 113-15 C       ","rgb(0,112,159)  ","#00709F","                      ","Graphic Designers              "
"2185 C           ","rgb(0,118,165)  ","#0076A5","                      ","Graphic Designers              "
"2185 XGC         ","rgb(0,119,168)  ","#0077A8","                      ","Graphic Designers              "
"641 U            ","rgb(0,120,167)  ","#0078A7","                      ","Graphic Designers              "
"7690 C           ","rgb(0,118,168)  ","#0076A8","                      ","Graphic Designers              "
"P 110-7 C        ","rgb(0,118,167)  ","#0076A7","                      ","Graphic Designers              "
"P 116-16 C       ","rgb(0,120,168)  ","#0078A8","                      ","Graphic Designers              "
"2394 XGC         ","rgb(0,143,207)  ","#008FCF","                      ","Graphic Designers              "
"2192 CP          ","rgb(0,148,210)  ","#0094D2","                      ","Graphic Designers              "
"P 112-7 C        ","rgb(0,146,209)  ","#0092D1","                      ","Graphic Designers              "
"2394 U           ","rgb(0,145,206)  ","#0091CE","                      ","Graphic Designers              "
"P 115-16 C       ","rgb(0,142,202)  ","#008ECA","                      ","Graphic Designers              "
"2193 U           ","rgb(36,142,216) ","#248ED8","                      ","Graphic Designers              "
"2393 C           ","rgb(0,146,203)  ","#0092CB","                      ","Graphic Designers              "
"2393 CP          ","rgb(0,150,205)  ","#0096CD","                      ","Graphic Designers              "
"2925 CP          ","rgb(21,150,209) ","#1596D1","                      ","Graphic Designers              "
"299 U            ","rgb(18,149,216) ","#1295D8","                      ","Graphic Designers              "
"639 C            ","rgb(0,149,200)  ","#0095C8","                      ","Graphic Designers              "
"639 XGC          ","rgb(0,149,202)  ","#0095CA","                      ","Graphic Designers              "
"7460 CP          ","rgb(0,146,201)  ","#0092C9","                      ","Graphic Designers              "
"7460 U           ","rgb(0,142,192)  ","#008EC0","                      ","Graphic Designers              "
"P 112-7 U        ","rgb(0,144,202)  ","#0090CA","                      ","Graphic Designers              "
"P 115-16 U       ","rgb(0,144,194)  ","#0090C2","                      ","Graphic Designers              "
"Process Blue UP  ","rgb(0,141,196)  ","#008DC4","                      ","Graphic Designers              "
"2257 CP          ","rgb(0,151,57)   ","#009739","                      ","Graphic Designers              "
"2272 C           ","rgb(0,154,23)   ","#009A17","                      ","Graphic Designers              "
"2273 CP          ","rgb(37,115,45)  ","#25732D","                      ","Graphic Designers              "
"2424 C           ","rgb(39,159,0)   ","#279F00","                      ","Graphic Designers              "
"355 C            ","rgb(0,150,57)   ","#009639","                      ","Graphic Designers              "
"P 143-7 C        ","rgb(16,136,58)  ","#10883A","                      ","Graphic Designers              "
"P 144-7 C        ","rgb(31,114,57)  ","#1F7239","                      ","Graphic Designers              "
"P 147-15 C       ","rgb(37,106,60)  ","#256A3C","                      ","Graphic Designers              "
"P 149-16 C       ","rgb(35,121,56)  ","#237938","                      ","Graphic Designers              "
"P 150-15 C       ","rgb(54,104,46)  ","#36682E","                      ","Graphic Designers              "
"P 153-8 C        ","rgb(45,107,50)  ","#2D6B32","                      ","Graphic Designers              "
"348 C            ","rgb(0,132,61)   ","#00843D","                      ","Graphic Designers              "
"3536 C           ","rgb(0,123,62)   ","#007B3E","                      ","Graphic Designers              "
"7732 XGC         ","rgb(0,121,64)   ","#007940","                      ","Graphic Designers              "
"P 140-8 C        ","rgb(0,127,62)   ","#007F3E","                      ","Graphic Designers              "
"P 143-15 C       ","rgb(30,127,61)  ","#1E7F3D","                      ","Graphic Designers              "
"3415 XGC         ","rgb(0,121,75)   ","#00794B","                      ","Graphic Designers              "
"7726 C           ","rgb(0,123,75)   ","#007B4B","                      ","Graphic Designers              "
"7726 CP          ","rgb(0,127,71)   ","#007F47","                      ","Graphic Designers              "
"P 137-16 C       ","rgb(0,121,75)   ","#00794B","                      ","Graphic Designers              "
"P 140-15 C       ","rgb(0,122,73)   ","#007A49","                      ","Graphic Designers              "
"2419 CP          ","rgb(0,123,83)   ","#007B53","                      ","Graphic Designers              "
"341 C            ","rgb(0,122,83)   ","#007A53","                      ","Graphic Designers              "
"3298 CP          ","rgb(0,117,95)   ","#00755F","                      ","Graphic Designers              "
"568 CP           ","rgb(6,113,92)   ","#06715C","                      ","Graphic Designers              "
"328 C            ","rgb(0,115,103)  ","#007367","                      ","Graphic Designers              "
"328 CP           ","rgb(0,117,104)  ","#007568","                      ","Graphic Designers              "
"328 XGC          ","rgb(0,118,104)  ","#007668","                      ","Graphic Designers              "
"3295 C           ","rgb(0,120,100)  ","#007864","                      ","Graphic Designers              "
"3295 XGC         ","rgb(0,119,99)   ","#007763","                      ","Graphic Designers              "
"562 XGC          ","rgb(0,114,99)   ","#007263","                      ","Graphic Designers              "
"7719 CP          ","rgb(0,114,107)  ","#00726B","                      ","Graphic Designers              "
"P 129-15 C       ","rgb(11,110,100) ","#0B6E64","                      ","Graphic Designers              "
"7718 C           ","rgb(0,118,114)  ","#007672","                      ","Graphic Designers              "
"7718 XGC         ","rgb(0,118,114)  ","#007672","                      ","Graphic Designers              "
"8744 C           ","rgb(0,114,118)  ","#007276","                      ","Graphic Designers              "
"P 125-16 C       ","rgb(0,116,115)  ","#007473","                      ","Graphic Designers              "
"P 128-16 C       ","rgb(0,117,108)  ","#00756C","                      ","Graphic Designers              "
"2223 CP          ","rgb(0,112,128)  ","#007080","                      ","Graphic Designers              "
"322 C            ","rgb(0,115,119)  ","#007377","                      ","Graphic Designers              "
"322 XGC          ","rgb(0,116,119)  ","#007477","                      ","Graphic Designers              "
"P 126-6 C        ","rgb(0,117,119)  ","#007577","                      ","Graphic Designers              "
"7474 C           ","rgb(0,118,129)  ","#007681","                      ","Graphic Designers              "
"7474 XGC         ","rgb(0,121,131)  ","#007983","                      ","Graphic Designers              "
"7714 C           ","rgb(0,118,128)  ","#007680","                      ","Graphic Designers              "
"7714 CP          ","rgb(0,116,129)  ","#007481","                      ","Graphic Designers              "
"P 122-16 C       ","rgb(0,118,125)  ","#00767D","                      ","Graphic Designers              "
"P 123-7 C        ","rgb(0,117,129)  ","#007581","                      ","Graphic Designers              "
"2152 CP          ","rgb(19,101,139) ","#13658B","                      ","Graphic Designers              "
"2223 C           ","rgb(0,120,141)  ","#00788D","                      ","Graphic Designers              "
"2223 XGC         ","rgb(0,117,136)  ","#007588","                      ","Graphic Designers              "
"3145 C           ","rgb(0,119,139)  ","#00778B","                      ","Graphic Designers              "
"3145 U           ","rgb(0,119,136)  ","#007788","                      ","Graphic Designers              "
"7474 CP          ","rgb(0,123,140)  ","#007B8C","                      ","Graphic Designers              "
"8224 C           ","rgb(0,119,142)  ","#00778E","                      ","Graphic Designers              "
"P 120-7 C        ","rgb(0,115,144)  ","#007390","                      ","Graphic Designers              "
"7468 XGC         ","rgb(0,119,154)  ","#00779A","                      ","Graphic Designers              "
"P 119-15 C       ","rgb(0,121,153)  ","#007999","                      ","Graphic Designers              "
"2203 UP          ","rgb(0,122,155)  ","#007A9B","                      ","Graphic Designers              "
"7468 CP          ","rgb(0,122,159)  ","#007A9F","                      ","Graphic Designers              "
"P 119-8 C        ","rgb(0,125,160)  ","#007DA0","                      ","Graphic Designers              "
"2185 CP          ","rgb(0,124,168)  ","#007CA8","                      ","Graphic Designers              "
"P 113-14 C       ","rgb(0,124,168)  ","#007CA8","                      ","Graphic Designers              "
"P 116-8 U        ","rgb(0,128,170)  ","#0080AA","                      ","Graphic Designers              "
"2393 XGC         ","rgb(0,151,215)  ","#0097D7","                      ","Graphic Designers              "
"2925 C           ","rgb(0,156,222)  ","#009CDE","                      ","Graphic Designers              "
"Process Cyan U   ","rgb(0,151,219)  ","#0097DB","                      ","Graphic Designers              "
"P 115-8 C        ","rgb(0,155,223)  ","#009BDF","                      ","Graphic Designers              "
"Process Cyan C   ","rgb(0,159,223)  ","#009FDF","                      ","Graphic Designers              "
"P 115-8 U        ","rgb(0,158,220)  ","#009EDC","                      ","Graphic Designers              "
"2191 CP          ","rgb(5,160,217)  ","#05A0D9","                      ","Graphic Designers              "
"2202 CP          ","rgb(0,159,213)  ","#009FD5","                      ","Graphic Designers              "
"2202 UP          ","rgb(0,156,213)  ","#009CD5","                      ","Graphic Designers              "
"299 CP           ","rgb(0,160,220)  ","#00A0DC","                      ","Graphic Designers              "
"299 XGC          ","rgb(0,160,219)  ","#00A0DB","                      ","Graphic Designers              "
"639 CP           ","rgb(0,152,208)  ","#0098D0","                      ","Graphic Designers              "
"P 115-15 C       ","rgb(0,152,207)  ","#0098CF","                      ","Graphic Designers              "
"2422 C           ","rgb(0,168,45)   ","#00A82D","                      ","Graphic Designers              "
"2423 C           ","rgb(0,170,19)   ","#00AA13","                      ","Graphic Designers              "
"355 XGC          ","rgb(0,157,60)   ","#009D3C","                      ","Graphic Designers              "
"P 146-15 C       ","rgb(37,125,60)  ","#257D3C","                      ","Graphic Designers              "
"P 152-16 C       ","rgb(52,119,53)  ","#347735","                      ","Graphic Designers              "
"P 153-15 C       ","rgb(57,106,54)  ","#396A36","                      ","Graphic Designers              "
"2418 C           ","rgb(0,135,62)   ","#00873E","                      ","Graphic Designers              "
"2418 CP          ","rgb(0,136,69)   ","#008845","                      ","Graphic Designers              "
"348 XGC          ","rgb(0,134,65)   ","#008641","                      ","Graphic Designers              "
"7732 CP          ","rgb(2,131,63)   ","#02833F","                      ","Graphic Designers              "
"P 145-16 C       ","rgb(0,139,62)   ","#008B3E","                      ","Graphic Designers              "
"3522 CP          ","rgb(0,139,67)   ","#008B43","                      ","Graphic Designers              "
"3536 CP          ","rgb(0,137,69)   ","#008945","                      ","Graphic Designers              "
"P 146-7 C        ","rgb(19,134,61)  ","#13863D","                      ","Graphic Designers              "
"7726 XGC         ","rgb(0,125,78)   ","#007D4E","                      ","Graphic Designers              "
"2245 CP          ","rgb(0,126,81)   ","#007E51","                      ","Graphic Designers              "
"2418 XGC         ","rgb(0,137,72)   ","#008948","                      ","Graphic Designers              "
"341 XGC          ","rgb(0,124,83)   ","#007C53","                      ","Graphic Designers              "
"2419 C           ","rgb(0,124,88)   ","#007C58","                      ","Graphic Designers              "
"2419 XGC         ","rgb(0,125,88)   ","#007D58","                      ","Graphic Designers              "
"335 C            ","rgb(0,123,95)   ","#007B5F","                      ","Graphic Designers              "
"335 CP           ","rgb(0,128,94)   ","#00805E","                      ","Graphic Designers              "
"3415 CP          ","rgb(0,132,90)   ","#00845A","                      ","Graphic Designers              "
"3288 C           ","rgb(0,130,100)  ","#008264","                      ","Graphic Designers              "
"335 XGC          ","rgb(0,126,97)   ","#007E61","                      ","Graphic Designers              "
"569 C            ","rgb(0,129,109)  ","#00816D","                      ","Graphic Designers              "
"7718 CP          ","rgb(0,123,117)  ","#007B75","                      ","Graphic Designers              "
"P 128-15 C       ","rgb(0,126,114)  ","#007E72","                      ","Graphic Designers              "
"P 129-7 C        ","rgb(0,122,112)  ","#007A70","                      ","Graphic Designers              "
"P 131-16 C       ","rgb(0,125,112)  ","#007D70","                      ","Graphic Designers              "
"322 CP           ","rgb(0,122,123)  ","#007A7B","                      ","Graphic Designers              "
"3557 C           ","rgb(0,121,124)  ","#00797C","                      ","Graphic Designers              "
"3557 CP          ","rgb(0,121,126)  ","#00797E","                      ","Graphic Designers              "
"P 125-15 C       ","rgb(0,125,126)  ","#007D7E","                      ","Graphic Designers              "
"P 128-8 C        ","rgb(0,127,116)  ","#007F74","                      ","Graphic Designers              "
"10285 C          ","rgb(0,121,137)  ","#007989","                      ","Graphic Designers              "
"7714 XGC         ","rgb(0,125,135)  ","#007D87","                      ","Graphic Designers              "
"8745 C           ","rgb(9,120,129)  ","#097881","                      ","Graphic Designers              "
"P 125-8 C        ","rgb(0,128,127)  ","#00807F","                      ","Graphic Designers              "
"2231 C           ","rgb(0,124,145)  ","#007C91","                      ","Graphic Designers              "
"2231 CP          ","rgb(0,126,138)  ","#007E8A","                      ","Graphic Designers              "
"3145 CP          ","rgb(0,125,145)  ","#007D91","                      ","Graphic Designers              "
"3145 XGC         ","rgb(0,125,148)  ","#007D94","                      ","Graphic Designers              "
"321 U            ","rgb(0,131,138)  ","#00838A","                      ","Graphic Designers              "
"7713 C           ","rgb(0,125,138)  ","#007D8A","                      ","Graphic Designers              "
"P 122-8 C        ","rgb(0,130,138)  ","#00828A","                      ","Graphic Designers              "
"2222 XGC         ","rgb(0,128,147)  ","#008093","                      ","Graphic Designers              "
"2231 U           ","rgb(0,133,151)  ","#008597","                      ","Graphic Designers              "
"2231 XGC         ","rgb(0,128,150)  ","#008096","                      ","Graphic Designers              "
"314 U            ","rgb(0,125,153)  ","#007D99","                      ","Graphic Designers              "
"7713 CP          ","rgb(0,130,147)  ","#008293","                      ","Graphic Designers              "
"P 119-8 U        ","rgb(5,127,149)  ","#057F95","                      ","Graphic Designers              "
"314 C            ","rgb(0,127,163)  ","#007FA3","                      ","Graphic Designers              "
"633 CP           ","rgb(0,127,163)  ","#007FA3","                      ","Graphic Designers              "
"2390 C           ","rgb(7,124,171)  ","#077CAB","                      ","Graphic Designers              "
"2391 C           ","rgb(0,129,166)  ","#0081A6","                      ","Graphic Designers              "
"10279 C          ","rgb(0,131,177)  ","#0083B1","                      ","Graphic Designers              "
"P 116-8 C        ","rgb(0,132,184)  ","#0084B8","                      ","Graphic Designers              "
"2191 C           ","rgb(0,163,225)  ","#00A3E1","                      ","Graphic Designers              "
"299 C            ","rgb(0,163,224)  ","#00A3E0","                      ","Graphic Designers              "
"P 115-7 C        ","rgb(0,166,226)  ","#00A6E2","                      ","Graphic Designers              "
"2202 C           ","rgb(0,165,223)  ","#00A5DF","                      ","Graphic Designers              "
"2202 U           ","rgb(0,170,227)  ","#00AAE3","                      ","Graphic Designers              "
"2995 UP          ","rgb(0,168,225)  ","#00A8E1","                      ","Graphic Designers              "
"P 115-7 U        ","rgb(0,168,225)  ","#00A8E1","                      ","Graphic Designers              "
"2272 CP          ","rgb(25,153,59)  ","#19993B","                      ","Graphic Designers              "
"2272 XGC         ","rgb(38,159,42)  ","#269F2A","                      ","Graphic Designers              "
"2422 XGC         ","rgb(0,173,47)   ","#00AD2F","                      ","Graphic Designers              "
"2423 XGC         ","rgb(0,179,50)   ","#00B332","                      ","Graphic Designers              "
"3529 C           ","rgb(28,164,33)  ","#1CA421","                      ","Graphic Designers              "
"P 148-16 C       ","rgb(36,144,57)  ","#249039","                      ","Graphic Designers              "
"P 142-16 C       ","rgb(0,150,61)   ","#00963D","                      ","Graphic Designers              "
"P 139-16 C       ","rgb(0,146,72)   ","#009248","                      ","Graphic Designers              "
"P 140-7 C        ","rgb(0,137,79)   ","#00894F","                      ","Graphic Designers              "
"2245 C           ","rgb(0,134,85)   ","#008655","                      ","Graphic Designers              "
"348 CP           ","rgb(0,143,76)   ","#008F4C","                      ","Graphic Designers              "
