"code             ","rgb             ","hex    ","name                  ","category                       "
"18-4231 TCX      ","rgb(9,87,123)   ","#09577B","Blue Sapphire         ","Fashion and Interior Designers "
"19-4048 TCX      ","rgb(21,81,135)  ","#155187","Baleine Blue          ","Fashion and Interior Designers "
"18-4141 TCX      ","rgb(50,114,175) ","#3272AF","Campanula             ","Fashion and Interior Designers "
"19-6050 TCX      ","rgb(38,78,54)   ","#264E36","Eden                  ","Fashion and Interior Designers "
"19-6311 TPX      ","rgb(44,76,50)   ","#2C4C32","Greener Pastures      ","Fashion and Interior Designers "
"18-5322 TCX      ","rgb(0,95,86)    ","#005F56","Alpine Green          ","Fashion and Interior Designers "
"19-5226 TCX      ","rgb(0,91,93)    ","#005B5D","Everglade             ","Fashion and Interior Designers "
"19-4234 TCX      ","rgb(11,83,105)  ","#0B5369","Ink Blue              ","Fashion and Interior Designers "
"19-4922 TPX      ","rgb(0,100,101)  ","#006465","Teal Green            ","Fashion and Interior Designers "
"19-4342 TCX      ","rgb(0,94,125)   ","#005E7D","Seaport               ","Fashion and Interior Designers "
"19-4535 TCX      ","rgb(0,97,117)   ","#006175","Ocean Depths          ","Fashion and Interior Designers "
"18-4530 TCX      ","rgb(0,99,128)   ","#006380","Celestial             ","Fashion and Interior Designers "
"18-4537 TPG      ","rgb(0,124,173)  ","#007CAD","Methyl Blue           ","Fashion and Interior Designers "
"19-5420 TCX      ","rgb(17,87,74)   ","#11574A","Evergreen             ","Fashion and Interior Designers "
"18-5338 TCX      ","rgb(0,107,84)   ","#006B54","Ultramarine Green     ","Fashion and Interior Designers "
"18-5845 TCX      ","rgb(0,110,81)   ","#006E51","Lush Meadow           ","Fashion and Interior Designers "
"18-5424 TCX      ","rgb(0,103,91)   ","#00675B","Cadmium Green         ","Fashion and Interior Designers "
"18-5025 TCX      ","rgb(0,104,101)  ","#006865","Quetzal Green         ","Fashion and Interior Designers "
"18-5619 TPX      ","rgb(0,107,100)  ","#006B64","Tidepool              ","Fashion and Interior Designers "
"18-4728 TCX      ","rgb(0,101,110)  ","#00656E","Harbor Blue           ","Fashion and Interior Designers "
"18-4834 TCX      ","rgb(0,101,107)  ","#00656B","Deep Lake             ","Fashion and Interior Designers "
"19-4536 TCX      ","rgb(0,99,124)   ","#00637C","Crystal Teal          ","Fashion and Interior Designers "
"18-4432 TCX      ","rgb(0,105,139)  ","#00698B","Turkish Tile          ","Fashion and Interior Designers "
"17-4336 TCX      ","rgb(0,132,189)  ","#0084BD","Blithe                ","Fashion and Interior Designers "
"17-4433 TPX      ","rgb(0,138,194)  ","#008AC2","Dresden Blue          ","Fashion and Interior Designers "
"17-4435 TCX      ","rgb(0,140,193)  ","#008CC1","Malibu Blue           ","Fashion and Interior Designers "
"18-6030 TCX      ","rgb(0,120,68)   ","#007844","Jolly Green           ","Fashion and Interior Designers "
"18-5624 TCX      ","rgb(0,110,91)   ","#006E5B","Shady Glade           ","Fashion and Interior Designers "
"18-4936 TCX      ","rgb(0,109,112)  ","#006D70","Fanfare               ","Fashion and Interior Designers "
"19-4329 TPX      ","rgb(17,90,111)  ","#115A6F","Corsair               ","Fashion and Interior Designers "
"18-4630 TCX      ","rgb(0,107,126)  ","#006B7E","Tahitian Tide         ","Fashion and Interior Designers "
"18-4430 TPG      ","rgb(0,116,147)  ","#007493","Fjord Blue            ","Fashion and Interior Designers "
"18-4538 TCX      ","rgb(0,120,167)  ","#0078A7","Hawaiian Surf         ","Fashion and Interior Designers "
"17-4540 TPX      ","rgb(0,149,198)  ","#0095C6","Hawaiian Ocean        ","Fashion and Interior Designers "
"19-6026 TCX      ","rgb(18,103,74)  ","#12674A","Verdant Green         ","Fashion and Interior Designers "
"18-5633 TCX      ","rgb(0,117,88)   ","#007558","Bosphorus             ","Fashion and Interior Designers "
"18-5020 TCX      ","rgb(0,115,108)  ","#00736C","Parasailing           ","Fashion and Interior Designers "
"18-4726 TPX      ","rgb(0,119,132)  ","#007784","Biscay Bay            ","Fashion and Interior Designers "
"18-4528 TCX      ","rgb(0,117,143)  ","#00758F","Mosaic Blue           ","Fashion and Interior Designers "
